Location,Trait Stack,Input Type,GENCD Planted,Marker Strategy,Traits,Trait Number,Total Embryos,Total Flats,Total Rows,Total Pots,Samples,Hit Pick,Estimated Endpoint Datapoints,Estimated RT Datapoints,Output Type,GENCD Harvested,Handoff Generation,Self,Backcross,Stack,Seg Out,Handoff,Sample Destination,Sample Days After Planting,Transplant Days After Planting,Pot Days After Planting,Pollination Days After Planting,Replant Days After Planting,Traits in Seg,Traits in Stack
Arica,3M,seed,NS,22-48-48,3272;MZHGOJG,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,F1,22-48-48,3272;MZHGOJG,2,0,2,3,0,14,0,28,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,B1,22-48-48,3272;MZHGOJG,2,0,3,3,0,38,22,4036,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,seed,NS,90-90,3272;MZHGOJG,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,F1,90-90,3272;MZHGOJG,2,0,2,3,0,14,0,28,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,F2,90-90,3272;MZHGOJG,2,0,13,3,0,280,0,0,1680,seed,F3,F3,TRUE,FALSE,FALSE,FALSE,TRUE,"Santiago, Chile",12,,30,52,135,,
Arica,3M,embryo,B1,90-90,3272;MZHGOJG,2,0,6,7,0,117,90,16434,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,B2,90-90,3272;MZHGOJG,2,0,6,7,0,117,90,16434,0,embryo,F2,F3,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,seed,NS,90-90-90,3272;MZHGOJG,2,0,0,3,0,2,0,4000,0,embryo,F1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,F1,90-90-90,3272;MZHGOJG,2,0,2,3,0,14,0,28,0,embryo,B1,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
Arica,3M,embryo,B1,90-90-90,3272;MZHGOJG,2,0,6,7,0,117,90,16434,0,embryo,B2,F3,FALSE,TRUE,FALSE,FALSE,FALSE,"Santiago, Chile",12,5,30,52,95,,
